"clinic_name","doctify_profile_url","website_url","location","specialty_tags","specialist_count","review_count","contact_email","phone","doctify_about","cqc_location_id","cqc_registered_manager","cqc_nominated_individual","cqc_match_confidence","decision_maker_email","decision_maker_name_matched","decision_maker_email_source","decision_maker_email_confidence","decision_maker_email_verified","doctify_email","doctify_specialist_slug","clinic_summary","relevant_services","key_people","code_score","salutation_name","judge_approved","judge_reason","auto_send_eligible","gmail_draft_id","fit_score","fit_reason","best_sales_angle","possible_objection","filter_reason","tailored_line","suggested_subject","suggested_email_body","status","error","email_sent_date","email_thread_id","followup_draft_id","followup_status"
"Mid Essex Hospital Services","https://www.doctify.com/uk/practice/mid-essex-hospital-services","","London, WC1R 4SG","Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Hepatology; Obstetrics & Gynaecology; Oncology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Respiratory Medicine; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"Lesley Jane King Physiotherapy Practice","https://www.doctify.com/uk/practice/lesley-jane-king-physiotherapy-practice","","London, WC2N 4JF","Health and Social Care; Obstetrics & Gynaecology; Paediatrics; Physiotherapy; Sports & Exercise Medicine; Sports Injury; Sports Rehabilitation","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Kailash Centre of Oriental Medicine","https://www.doctify.com/uk/practice/kailash-centre-of-oriental-medicine","","London, NW8 7AA","Acupuncture; General Practice (GP); Gynaecology; Holistic Therapy; Obstetrics & Gynaecology; Pain Management; Palliative Medicine; Physiotherapy; Traditional Chinese Medicine; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Uk Health Radio Network","https://www.doctify.com/uk/practice/uk-health-radio-network","","London, W13 3DL","Cardiology; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Hepatology; Infectious Diseases; Obstetrics & Gynaecology; Oncology; Ophthalmology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Respiratory Medicine; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The Royal College Of Surgeons Of England","https://www.doctify.com/uk/practice/the-royal-college-of-surgeons-of-england","","London, WC2A 3PE","Audiology; Cardiothoracic Surgery; Ear Nose & Throat Surgery (ENT/Otolaryngology); General Surgery; Gynaecology; Obstetrics & Gynaecology; Paediatric Surgery; Podiatric Surgery; Podiatry; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Watford Medical Ltd","https://www.doctify.com/uk/practice/watford-medical-ltd","","London, SW1X 7LY","Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Obstetrics & Gynaecology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Camden And Islington Nhs Foundation Trust","https://www.doctify.com/uk/practice/camden-and-islington-nhs-foundation-trust","","London, NW1 0PE","Cardiology; Dental Care; Dermatology; Emergency Ophthalmology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); General Surgery; Gynaecology; Hepatology; Holistic Therapy; Infectious Diseases; Mental Health; Obstetrics; Obstetrics & Gynaecology; Oncology; Ophthalmology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Respiratory Medicine; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","hospital/NHS: ""nhs foundation""","","","","pre_filtered","","","","",""
"Myriad Genetics Ltd","https://www.doctify.com/uk/practice/myriad-genetics-ltd","","King's Cross, N1C 4AG","Mental Health; Obstetrics & Gynaecology; Oncology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Bupa Wellness","https://www.doctify.com/uk/practice/bupa-wellness","","London, WC2N 6RH","Chiropractic; Holistic Therapy; Homeopathy; Mental Health; Obstetrics & Gynaecology; Oncology; Sports & Exercise Medicine; Sports Rehabilitation","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The Wilton Place Practice","https://www.doctify.com/uk/practice/the-wilton-place-practice","","Greater London, SW1X 8SH","General Practice (GP); Holistic Therapy; Mental Health; Obstetrics & Gynaecology; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"31 Wilton Place Limited","https://www.doctify.com/uk/practice/31-wilton-place-limited","","London, Sw1x 8sh","Chiropractic; Dermatology; General Practice (GP); Health and Social Care; Holistic Therapy; Medical Weight Loss; Mental Health; Nutrition; Obstetrics & Gynaecology; Oral & Maxillofacial Surgery; Oral Medicine; Physiotherapy; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Zerenia","https://www.doctify.com/uk/practice/zerenia","","London, WC2R 0BU","Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Obstetrics & Gynaecology; Oncology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Pain Management; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"British Association Of Day Surgery","https://www.doctify.com/uk/practice/british-association-of-day-surgery","","London, WC2A 3PE","Dental Care; General Surgery; Gynaecology; Obstetrics & Gynaecology; Paediatric Surgery; Podiatric Surgery; Podiatry; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"UCL Eastman CPD","https://www.doctify.com/uk/practice/ucl-eastman-cpd","","London, WC1X 8WD","Anaesthetics; Fertility Medicine; General Surgery; Neurology; Obstetrics & Gynaecology; Oncology; Paediatric Respiratory; Paediatrics; Reproductive Medicine; Sonography","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"360 Health","https://www.doctify.com/uk/practice/360-health","","London, NW8 9NH","Cardiology; Dermatology; Endocrinology; Endocrinology & Diabetes; Functional Medicine; Gastroenterology; General (Internal) Medicine; General Practice (GP); Geriatric Medicine; Gynaecology; Health Screening; Health and Social Care; Men's Health; Obstetrics & Gynaecology; Oncology; Oral & Maxillofacial Surgery; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Rehabilitation Medicine; Rheumatology; Sports & Exercise Medicine; Urology; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Bush House North Wing","https://www.doctify.com/uk/practice/bush-house-north-wing","","London, WC2B 4BG","Cardiology; Dental Care; Dermatology; Gastroenterology; General (Internal) Medicine; General Practice (GP); Obstetrics & Gynaecology; Oncology; Paediatric Respiratory; Paediatrics; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Woodbury Surgery Limited","https://www.doctify.com/uk/practice/woodbury-surgery-limited","","London, WC1R 5EF","General Practice (GP); Obstetrics & Gynaecology; Sports & Exercise Medicine; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Circus Road GP Practice","https://www.doctify.com/uk/practice/circus-road-gp-practice","","St Johns Wood, NW8 9SG","Endocrinology & Diabetes; General Practice (GP); General Practice (GP) (Video Consultation); Men's Health; Mental Health; Obstetrics & Gynaecology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"DAM Health","https://www.doctify.com/uk/practice/dam-health","","London, N1 9JY","Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Obstetrics & Gynaecology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Cure by Nature","https://www.doctify.com/uk/practice/cure-by-nature","","London, SW18 5LU","Acupuncture; General Practice (GP); Holistic Therapy; Obstetrics & Gynaecology; Pain Management; Palliative Medicine; Physiotherapy; Sports & Exercise Medicine; Traditional Chinese Medicine; Women's Health","","3","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Bayswater Medical Centre","https://www.doctify.com/uk/practice/bayswater-medical-centre","","London, W2 3QA","General Practice (GP); Holistic Therapy; Mental Health; Obstetrics & Gynaecology; Sports & Exercise Medicine; Women's Health","","0","","","","1-10529007205","","","fuzzy","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Basil Street Practice","https://www.doctify.com/uk/practice/basil-street-practice","","London, SW3 1AU","General Practice (GP); Holistic Therapy; Mental Health; Obstetrics & Gynaecology; Women's Health","","0","","","","1-6223072914","","Mr John Reay","fuzzy","","","","","","","NOT_FOUND","","","","","Mr John Reay","","","","","","","","","","","","","unknown","","","","",""
"The Basil Street Practice","https://www.doctify.com/uk/practice/the-basil-street-practice","","London, SW3 1AU","Dermatology; General Practice (GP); General Practice (GP) (Video Consultation); Holistic Therapy; Obstetrics & Gynaecology; Paediatrics; Physiotherapy; Primary Care; Psychotherapy; Sexual & Reproductive Health; Sports & Exercise Medicine","","0","","","","1-6223072914","","Mr John Reay","exact","","","","","","","NOT_FOUND","","","","","Mr John Reay","","","","","","","","","","","","","unknown","","","","",""
"St Johns Wood Medical Practice Brampton House","https://www.doctify.com/uk/practice/st-johns-wood-medical-practice-brampton-house","","London, NW8 9NH","General Practice (GP); Holistic Therapy; Mental Health; Obstetrics & Gynaecology; Sports & Exercise Medicine; Women's Health","","0","","","","1-547469382","Dr Saul Daniel Kaufman","","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Saul Daniel Kaufman","","","","","","","","","","","","","unknown","","","","",""
"Taktouk Clinic","https://www.doctify.com/uk/practice/taktouk-clinic","","London, SW1X 9LJ","General Practice (GP); Holistic Therapy; Mental Health; Obstetrics & Gynaecology; Oral & Maxillofacial Surgery; Oral Medicine; Women's Health","","0","","","","1-11010496756","Dr Wassim Taktouk","Dr Wassim Taktouk","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Wassim Taktouk","","","","","","","","","","","","","unknown","","","","",""
"Sirkka Health","https://www.doctify.com/uk/practice/sirkka-health","","London, WC1X9DU","General Practice (GP); Holistic Therapy; Mental Health; Obstetrics & Gynaecology; Sports & Exercise Medicine; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Inc-Health","https://www.doctify.com/uk/practice/inc-health","","London, SW1E 6PE","Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Obstetrics & Gynaecology; Oncology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The Thomas Connection","https://www.doctify.com/uk/practice/the-thomas-connection","","London, WC1X 8AQ","Chiropractic; General Practice (GP); Health and Social Care; Holistic Therapy; Mental Health; Obstetrics & Gynaecology; Paediatric Respiratory; Paediatrics; Physiotherapy; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Nejati Clinic","https://www.doctify.com/uk/practice/nejati-clinic","","Belgravia, SW1X 9JF","Cardiology; Chiropractic; Dermatology; Diagnostics; General (Internal) Medicine; General Practice (GP); Gynaecology; Health and Social Care; Medical Weight Loss; Nutrition; Obstetrics & Gynaecology; Physiotherapy; Sports & Exercise Medicine","","0","","","","1-14614731379","","","exact","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Via","https://www.doctify.com/uk/practice/via","","London, SW1H 9BL","Addiction Medicine; Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Adult Psychiatry; General Practice (GP); Gynaecology; Obstetrics & Gynaecology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Psychiatry; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The St James Clinic Ltd","https://www.doctify.com/uk/practice/the-st-james-clinic-ltd","","London, WC1V 7PZ","Cardiology; Chiropractic; Dermatology; General (Internal) Medicine; General Practice (GP); Gynaecology; Health and Social Care; Obstetrics & Gynaecology; Physiotherapy","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Staple Inn Associates","https://www.doctify.com/uk/practice/staple-inn-associates","","London, WC1V 7QH","Chiropractic; General Practice (GP); Health and Social Care; Holistic Therapy; Medical Weight Loss; Mental Health; Nutrition; Obstetrics & Gynaecology; Oral & Maxillofacial Surgery; Oral Medicine; Physiotherapy; Sports & Exercise Medicine; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Chancery Lane Practice","https://www.doctify.com/uk/practice/chancery-lane-practice","","London, WC1V 7QH","General Practice (GP); Obstetrics & Gynaecology; Sports & Exercise Medicine; Women's Health","","0","","","","1-4961743121","","","fuzzy","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"On Health","https://www.doctify.com/uk/practice/on-health","","Westminster, SW1W 0QP","Cardiology; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Geriatric Medicine; Gynaecology; Health and Social Care; Obstetrics & Gynaecology; Oncology; Oral & Maxillofacial Surgery; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Rehabilitation Medicine; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","1-5051235113","Miss Naomi Olivia Lee","Mr James William Easton","fuzzy","","","","","","","NOT_FOUND","","","","","Mr James William Easton","","","","","","","","","","","","","unknown","","","","",""
"Princess Elizabeth Hospital","https://www.doctify.com/uk/practice/princess-elizabeth-hospital","","London, EC1M 4DN","Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Hepatology; Obstetrics & Gynaecology; Oncology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Respiratory Medicine; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"Bupa Health and Dental Centre - Chancery Lane","https://www.doctify.com/uk/practice/bupa-health-and-dental-centre---chancery-lane","","London, WC2A 1PP","General Practice (GP); Obstetrics & Gynaecology; Sports & Exercise Medicine; Women's Health","","0","","","","1-3918137133","Miss Alida Georgette Lockley","Mrs Joanna Ruth Paice","exact","","","","","","","NOT_FOUND","","","","","Mrs Joanna Ruth Paice","","","","","","","","","hospital/NHS: ""bupa health""","","","","pre_filtered","","","","",""
"Bryer Wallace, Knightsbridge","https://www.doctify.com/uk/practice/bryer-wallace-knightsbridge","","London, SW1X 9SW","Chiropractic; Dermatology; General Practice (GP); Health and Social Care; Holistic Therapy; Mental Health; Obstetrics & Gynaecology; Oral & Maxillofacial Surgery; Oral Medicine; Paediatric Respiratory; Paediatrics; Physiotherapy; Women's Health","","0","","","","1-2526340062","Ms Kerry Alison Zoina","Mr Mark Lee Allan","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Mark Lee Allan","","","","","","","","","","","","","unknown","","","","",""
"City of London","https://www.doctify.com/uk/practice/city-of-london-2","","London, EC1R 5HL","Cardiology; Dentistry; Dermatology; Endocrinology & Diabetes; General (Internal) Medicine; General Practice (GP); Gynaecology; Health and Social Care; Obstetrics & Gynaecology; Oncology; Optometry; Physiotherapy","","0","","","","1-10198886695","Miss Shahin Nashir Boghani","Miss Shahin Nashir Boghani","fuzzy","","","","","","","NOT_FOUND","","","","","Miss Shahin Nashir Boghani","","","","","","","","","","","","","unknown","","","","",""
"Finsbury Healthcare","https://www.doctify.com/uk/practice/finsbury-healthcare","","Clerkenwell, EC1R 0LP","Dermatology; Endocrinology & Diabetes; General Practice (GP); Mental Health; Obstetrics & Gynaecology; Paediatric Respiratory; Paediatrics","","0","","","","1-4971733550","Mrs Susan Marie Caratelli","Ms Sheena Claire Small","fuzzy","","","","","","","NOT_FOUND","","","","","Ms Sheena Claire Small","","","","","","","","","","","","","unknown","","","","",""
"Whitby & Co","https://www.doctify.com/uk/practice/whitby-co","","London, EC4Y 1AA","Endocrinology & Diabetes; Obstetrics & Gynaecology; Paediatric Respiratory; Paediatrics","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Allison Swan Physios","https://www.doctify.com/uk/practice/allison-swan-physios","","London, SW1W 9DE","Acupuncture; Health and Social Care; Obstetrics & Gynaecology; Paediatrics; Physiotherapy; Sports & Exercise Medicine; Sports Injury; Sports Rehabilitation; Traditional Chinese Medicine","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Tess Lugos - Acupuncture","https://www.doctify.com/uk/practice/tess-lugos-acupuncture","","London, NW8 9EB","Acupuncture; General Practice (GP); Gynaecology; Holistic Therapy; Obstetrics & Gynaecology; Pain Management; Palliative Medicine; Physiotherapy; Traditional Chinese Medicine; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The KP Clinic","https://www.doctify.com/uk/practice/knightsbridge-pharmacy","","London, SW3 1HW","Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Obstetrics & Gynaecology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Emk London Ltd","https://www.doctify.com/uk/practice/emk-london-ltd","","Ladbroke Grove, SW3 1NQ","Acupuncture; Chiropractic; General Practice (GP); Health and Social Care; Holistic Therapy; Mental Health; Nutrition; Obstetrics & Gynaecology; Physiotherapy; Traditional Chinese Medicine; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The Sloane Street Surgery","https://www.doctify.com/uk/practice/the-sloane-street-surgery","","London, SW1X 9PA","Endocrinology & Diabetes; General Practice (GP); Mental Health; Obstetrics & Gynaecology; Oral & Maxillofacial Surgery; Oral Medicine; Paediatric Respiratory; Paediatrics","","0","","","","1-116840400","Dr Patrick John Ruane","","exact","","","","","","","NOT_FOUND","","","","","Dr Patrick John Ruane","","","","","","","","","","","","","unknown","","","","",""
"KSL Clinic Kent","https://www.doctify.com/uk/practice/dr-matee-hair-restoration-kent","","London, ME14 1QJ","Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Obstetrics & Gynaecology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","1-3653958351","Mr Lloyd Hume","Mr Lloyd Hume","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Lloyd Hume","","","","","","","","","","","","","unknown","","","","",""
"Professor Catani Clinic","https://www.doctify.com/uk/practice/professor-catani-clinic","","London, SW3 1NX","Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Obstetrics & Gynaecology; Oncology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Dr. Richard Hennebry","https://www.doctify.com/uk/practice/dr-richard-hennebry","","London, SW3 1HW","Obstetrics & Gynaecology; Sports Rehabilitation","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Roscop Practice","https://www.doctify.com/uk/practice/frederic-roscop-practice","","Chelsea, SW3 1NX","Endocrinology & Diabetes; Obstetrics & Gynaecology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The North West London Medical Centre","https://www.doctify.com/uk/practice/the-north-west-london-medical-centre","","London, W9 1PP","Cardiology; Chiropractic; Dermatology; General (Internal) Medicine; General Practice (GP); Gynaecology; Health and Social Care; Holistic Therapy; Mental Health; Obstetrics & Gynaecology; Paediatric Respiratory; Paediatrics; Physiotherapy","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Jack Eppel","https://www.doctify.com/uk/practice/jack-eppel","","London, NW3 2DW","Holistic Therapy; Mental Health; Obstetrics & Gynaecology; Sports Rehabilitation","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Fariba Tajalli","https://www.doctify.com/uk/practice/fariba-tajalli","","London, SW1W 9PY","General Practice (GP); Obstetrics & Gynaecology; Sports Rehabilitation; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Private Doctor Direct","https://www.doctify.com/uk/practice/private-doctor-direct","","London, SW1P 3QB","Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Health Screening; Obstetrics & Gynaecology; Oncology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Respiratory Medicine; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Doctor Care Anywhere","https://www.doctify.com/uk/practice/doctor-care-anywhere","","London, EC4Y 8DP","General Practice (GP); Health Screening; Men's Health; Obstetrics & Gynaecology; Pain Management; Palliative Medicine; Sports & Exercise Medicine; Women's Health","","0","","","","1-7311675721","Miss Laura Mary Kealy","Mr Jamie Paul Aspinall","exact","","","","","","","NOT_FOUND","","","","","Mr Jamie Paul Aspinall","","","","","","","","","","","","","unknown","","","","",""
"London Fleet Street Bupa Health Centre","https://www.doctify.com/uk/practice/london-fleet-street-bupa-health-centre","","London, EC4A 3DE","Allergy Medicine; Chiropractic; Dermatology; Dietetics; General Practice (GP); Health and Social Care; Holistic Therapy; Medical Weight Loss; Mental Health; Nutrition & Diet; Nutritionist; Obstetrics & Gynaecology; Oncology; Physiotherapy; Primary Care; Psychology; Sports & Exercise Medicine; Women's Health","","0","","","","1-118072619","","","fuzzy","","","","","","","","","","","","","","","","","","","","","hospital/NHS: ""bupa health""","","","","pre_filtered","","","","",""
"David O'Neil Physiotherapy","https://www.doctify.com/uk/practice/david-oneil-physiotherapy","","London, W2 6ET","Health and Social Care; Obstetrics & Gynaecology; Paediatrics; Physiotherapy; Sports & Exercise Medicine; Sports Injury; Sports Rehabilitation","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Belgravia Clinic","https://www.doctify.com/uk/practice/belgravia-clinic","","London, SW1W 9LX","Cardiology; Dental Care; Dermatology; General (Internal) Medicine; General Practice (GP); Gynaecology; Obstetrics & Gynaecology; Oncology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Urology","","0","","","","1-12215668749","Dr Veerle Karine Christine Rotsaert","Dr Veerle Karine Christine Rotsaert","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Veerle Karine Christine Rotsaert","","","","","","","","","","","","","unknown","","","","",""
"Diana Da Silva","https://www.doctify.com/uk/practice/diana-da-silva","","London, SW1W 9LX","General Practice (GP); Holistic Therapy; Mental Health; Obstetrics & Gynaecology; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The Osprey Clinic","https://www.doctify.com/uk/practice/the-osprey-clinic","","London, NW3 3ST","Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Obstetrics & Gynaecology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Archangel Clinic","https://www.doctify.com/uk/practice/archangel-clinic","","Bayswater, W2 5RA","Cardiology; Chiropractic; Dermatology; General (Internal) Medicine; General Practice (GP); Gynaecology; Health and Social Care; Obstetrics & Gynaecology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Physiotherapy; Urology","","0","","","","1-199929192","Dr Archangel De La Valette","Dr Archangel De La Valette","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Archangel De La Valette","","","","","","","","","","","","","unknown","","","","",""
"Parkside Hospital","https://www.doctify.com/uk/practice/parkside-hospital-1","","Wimbledon, SW19 5NX","Cardiology; Dental Care; Dermatology; Gastroenterology; General (Internal) Medicine; General Practice (GP); General Surgery; Obstetrics & Gynaecology; Oncology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Urology; Women's Health","","11","","","","1-12924818809","Mrs Elizabeth Mayleen Dowling","Mrs Alison Louise Mccourt","exact","","","","","","","NOT_FOUND","","","","","Mrs Alison Louise Mccourt","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"Rood Lane Medical Group","https://www.doctify.com/uk/practice/rood-lane-medical-group-1","","London, EC4A 4TR","General Practice (GP); Holistic Therapy; Mental Health; Obstetrics & Gynaecology; Sports & Exercise Medicine; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Ethos Sports Centre","https://www.doctify.com/uk/practice/ethos-sports-centre-1","","London, SW7 1NA","Acupuncture; Medical Weight Loss; Nutrition & Diet; Obstetrics & Gynaecology; Sports & Exercise Medicine; Sports Rehabilitation","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Wellness Medical Centre","https://www.doctify.com/uk/practice/wellness-medical-centre","","London, SW1W 8HD","General Practice (GP); Holistic Therapy; Homeopathy; Mental Health; Obstetrics & Gynaecology; Oncology; Women's Health","","0","","","","1-12112084925","Mrs Jaynee Sunita Treon","Mrs Jaynee Sunita Treon","fuzzy","","","","","","","NOT_FOUND","","","","","Mrs Jaynee Sunita Treon","","","","","","","","","","","","","unknown","","","","",""
"Practice","https://www.doctify.com/uk/practice/practice-1","","London, SW1X 9AE","Endocrinology & Diabetes; Obstetrics & Gynaecology; Paediatric Respiratory; Paediatrics","","0","","","","1-10478815305","Ms Helen Elizabeth Gale","Ms Helen Elizabeth Gale","fuzzy","","","","","","","NOT_FOUND","","","","","Ms Helen Elizabeth Gale","","","","","","","","","","","","","unknown","","","","",""
